time,x,Density,Sulfur
20.5,20,880,1.2
20.5,25,880,1.2
20.5,30,880,1.2
20.5,35,880,1.2
20.5,40,880,1.2
20.5,45,880,1.2
20.5,50,880,1.2
20.5,55,880,1.2
20.5,60,880,1.2
20.5,65,880,1.2
20.5,70,880,1.2
20.5,75,880,1.2
20.5,80,880,1.2
20.5,85,880,1.2
20.5,90,880,1.2
20.5,95,880,1.2
20.5,100,880,1.2
21,0,880,1.2
21,5,880,1.2
21,10,880,1.2
21,15,880,1.2
21,20,880,1.2
21,25,880,1.2
21,30,880,1.2
21,35,880,1.2
21,40,880,1.2
21,45,880,1.2
21,50,880,1.2
21,55,880,1.2
21,60,880,1.2
21,65,880,1.2
21,70,880,1.2
21,75,880,1.2
21,80,880,1.2
21,85,880,1.2
21,90,880,1.2
21,95,880,1.2
21,100,880,1.2
21.5,0,880,1.2
21.5,5,880,1.2
21.5,10,880,1.2
21.5,15,880,1.2
21.5,20,880,1.2
21.5,25,880,1.2
21.5,30,880,1.2
21.5,35,880,1.2
21.5,40,880,1.2
21.5,45,880,1.2
21.5,50,880,1.2
21.5,55,880,1.2
21.5,60,880,1.2
21.5,65,880,1.2
21.5,70,880,1.2
21.5,75,880,1.2
21.5,80,880,1.2
21.5,85,880,1.2
21.5,90,880,1.2
21.5,95,880,1.2
21.5,100,880,1.2
22,0,880,1.2
22,5,880,1.2
22,10,880,1.2
22,15,880,1.2
22,20,880,1.2
22,25,880,1.2
22,30,880,1.2
22,35,880,1.2
22,40,880,1.2
22,45,880,1.2
22,50,880,1.2
22,55,880,1.2
22,60,880,1.2
22,65,880,1.2
22,70,880,1.2
22,75,880,1.2
22,80,880,1.2
22,85,880,1.2
22,90,880,1.2
22,95,880,1.2
22,100,880,1.2
22.5,0,880,1.2
22.5,5,880,1.2
22.5,10,880,1.2
22.5,15,880,1.2
22.5,20,880,1.2
22.5,25,880,1.2
22.5,30,880,1.2
22.5,35,880,1.2
22.5,40,880,1.2
22.5,45,880,1.2
22.5,50,880,1.2
22.5,55,880,1.2
22.5,60,880,1.2
22.5,65,880,1.2
22.5,70,880,1.2
22.5,75,880,1.2
22.5,80,880,1.2
22.5,85,880,1.2
22.5,90,880,1.2
22.5,95,880,1.2
22.5,100,880,1.2
23,0,880,1.2
23,5,880,1.2
23,10,880,1.2
23,15,880,1.2
23,20,880,1.2
23,25,880,1.2
23,30,880,1.2
23,35,880,1.2
23,40,880,1.2
23,45,880,1.2
23,50,880,1.2
23,55,880,1.2
23,60,880,1.2
23,65,880,1.2
23,70,880,1.2
23,75,880,1.2
23,80,880,1.2
23,85,880,1.2
23,90,880,1.2
23,95,880,1.2
23,100,880,1.2
23.5,0,880,1.2
23.5,5,880,1.2
23.5,10,880,1.2
23.5,15,880,1.2
23.5,20,880,1.2
23.5,25,880,1.2
23.5,30,880,1.2
23.5,35,880,1.2
23.5,40,880,1.2
23.5,45,880,1.2
23.5,50,880,1.2
23.5,55,880,1.2
23.5,60,880,1.2
23.5,65,880,1.2
23.5,70,880,1.2
23.5,75,880,1.2
23.5,80,880,1.2
23.5,85,880,1.2
23.5,90,880,1.2
23.5,95,880,1.2
23.5,100,880,1.2
24,0,880,1.2
24,5,880,1.2
24,10,880,1.2
24,15,880,1.2
24,20,880,1.2
24,25,880,1.2
24,30,880,1.2
24,35,880,1.2
24,40,880,1.2
24,45,880,1.2
24,50,880,1.2
24,55,880,1.2
24,60,880,1.2
24,65,880,1.2
24,70,880,1.2
24,75,880,1.2
24,80,880,1.2
24,85,880,1.2
24,90,880,1.2
24,95,880,1.2
24,100,880,1.2
24.5,0,880,1.2
24.5,5,880,1.2
24.5,10,880,1.2
24.5,15,880,1.2
24.5,20,880,1.2
24.5,25,880,1.2
24.5,30,880,1.2
24.5,35,880,1.2
24.5,40,880,1.2
24.5,45,880,1.2
24.5,50,880,1.2
24.5,55,880,1.2
24.5,60,880,1.2
24.5,65,880,1.2
24.5,70,880,1.2
24.5,75,880,1.2
24.5,80,880,1.2
24.5,85,880,1.2
24.5,90,880,1.2
24.5,95,880,1.2
24.5,100,880,1.2
25,0,880,1.2
25,5,880,1.2
25,10,880,1.2
25,15,880,1.2
25,20,880,1.2
25,25,880,1.2
25,30,880,1.2
25,35,880,1.2
25,40,880,1.2
25,45,880,1.2
25,50,880,1.2
25,55,880,1.2
25,60,880,1.2
25,65,880,1.2
25,70,880,1.2
25,75,880,1.2
25,80,880,1.2
25,85,880,1.2
25,90,880,1.2
25,95,880,1.2
25,100,880,1.2
25.5,0,880,1.2
25.5,5,880,1.2
25.5,10,880,1.2
25.5,15,880,1.2
25.5,20,880,1.2
25.5,25,880,1.2
